,ID,corredor_armazem,modo_envio,numero_chamadas_cliente,avaliacao_cliente,custo_produto,compras_anteriores,prioridade_produto,genero,desconto,peso_gramas,entregue_no_prazo,performance_prioridade_envio,performance_modo_envio,faixa_desconto,performance_faixa_desconto
1850,1851,A,Navio,3,4,203,3,baixa,M,18,3127,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1853,1854,F,Navio,3,3,190,7,media,F,7,2400,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
1857,1858,B,Navio,3,5,168,3,baixa,F,5,1143,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
1858,1859,C,Navio,2,2,190,3,baixa,M,51,2380,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1859,1860,F,Navio,2,5,170,8,baixa,M,14,1396,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1860,1861,D,Navio,4,4,226,7,baixa,M,9,2182,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
1861,1862,F,Navio,5,1,256,7,baixa,F,50,3837,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1862,1863,A,Navio,2,1,104,7,baixa,M,30,1870,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1863,1864,B,Navio,4,1,192,3,media,F,29,3347,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1864,1865,C,Navio,4,3,213,3,media,M,57,3599,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1865,1866,F,Navio,4,2,259,2,media,M,54,2244,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1866,1867,D,Navio,3,4,257,2,alta,M,15,3981,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1867,1868,F,Navio,4,3,163,3,baixa,M,52,1891,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1868,1869,A,Navio,2,3,211,3,media,F,55,3842,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1869,1870,B,Navio,3,2,166,2,media,F,45,1741,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1870,1871,C,Navio,3,1,245,4,alta,F,47,3111,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1871,1872,F,Navio,5,5,234,2,media,F,43,3822,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1872,1873,D,Navio,4,4,234,2,alta,M,2,2008,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
1873,1874,F,Navio,3,4,180,3,baixa,F,52,1727,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1874,1875,A,Navio,4,5,217,4,media,F,12,2217,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1875,1876,B,Navio,4,5,253,3,baixa,F,58,3096,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1876,1877,C,Navio,3,4,188,3,media,F,49,3221,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1877,1878,F,Navio,2,2,274,3,alta,F,60,2053,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1878,1879,D,Navio,3,1,136,2,media,F,61,1509,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1880,1881,A,Navio,3,4,267,3,baixa,F,55,2923,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1881,1882,B,Navio,3,1,198,2,media,F,49,3573,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1884,1885,D,Navio,5,4,269,3,media,F,51,3415,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1885,1886,F,Navio,5,3,123,2,baixa,F,30,1068,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1886,1887,A,Navio,3,4,178,2,baixa,F,35,1183,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1887,1888,B,Navio,3,5,203,3,baixa,F,58,3231,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1890,1891,D,Navio,3,4,190,7,media,F,51,2391,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1894,1895,C,Caminhao,3,2,168,3,baixa,M,15,1862,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1895,1896,F,Caminhao,2,1,190,3,baixa,M,59,2108,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1896,1897,D,Caminhao,2,3,170,8,baixa,M,61,1240,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1897,1898,F,Caminhao,4,1,226,7,baixa,M,41,2964,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1898,1899,A,Caminhao,5,2,256,7,baixa,F,41,2758,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1899,1900,B,Caminhao,2,5,104,7,baixa,M,12,1064,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1900,1901,C,Caminhao,4,4,192,3,media,M,39,2943,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1901,1902,F,Caminhao,5,2,195,6,baixa,M,38,1338,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1902,1903,D,Caminhao,3,5,271,4,baixa,M,51,1134,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1903,1904,F,Caminhao,2,1,296,5,media,M,29,1648,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1904,1905,A,Caminhao,4,5,277,5,media,F,32,1055,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1905,1906,B,Caminhao,2,4,140,3,baixa,M,32,1819,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1906,1907,C,Caminhao,4,1,148,3,alta,F,23,1814,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1907,1908,F,Caminhao,4,5,238,2,baixa,F,1,2644,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
1908,1909,D,Caminhao,5,3,220,3,baixa,M,37,2294,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1909,1910,F,Caminhao,4,4,224,3,baixa,M,29,3623,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1910,1911,A,Caminhao,4,5,162,3,baixa,F,31,1170,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1911,1912,B,Caminhao,4,2,202,4,baixa,F,1,3602,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
1912,1913,C,Caminhao,3,5,226,3,media,M,5,3914,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
1913,1914,F,Aviao,4,3,246,2,baixa,M,60,2086,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1914,1915,D,Aviao,5,2,223,3,baixa,F,51,3687,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1915,1916,F,Aviao,5,2,156,2,media,M,19,1311,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1916,1917,A,Aviao,2,5,189,2,baixa,M,38,3708,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1917,1918,B,Aviao,5,4,242,3,alta,F,2,3564,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
1918,1919,C,Aviao,4,5,207,2,media,F,49,3736,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1919,1920,F,Aviao,3,3,161,3,baixa,F,24,1920,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1920,1921,D,Aviao,4,5,232,2,baixa,F,21,3128,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1921,1922,F,Aviao,6,4,194,3,baixa,M,10,2554,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
1922,1923,A,Aviao,5,5,161,3,media,F,59,1037,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1923,1924,B,Aviao,4,1,269,3,media,F,23,3652,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1924,1925,C,Aviao,3,3,219,2,baixa,F,41,3932,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1925,1926,F,Aviao,5,2,161,2,media,F,59,1859,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1926,1927,D,Aviao,3,1,264,4,baixa,M,33,3561,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1927,1928,F,Aviao,5,2,151,3,media,M,20,1395,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1928,1929,A,Aviao,5,5,177,2,alta,F,31,2000,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1929,1930,B,Aviao,2,5,193,5,media,F,13,2882,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1930,1931,C,Aviao,4,4,212,4,media,M,16,2494,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1931,1932,F,Aviao,4,1,210,2,media,F,7,3405,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
1932,1933,D,Aviao,4,2,164,2,media,F,43,1976,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1933,1934,F,Aviao,4,2,219,3,baixa,M,2,3402,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
1934,1935,A,Aviao,4,4,216,4,media,M,27,3740,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1935,1936,B,Navio,5,2,174,2,media,M,54,1091,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1936,1937,C,Navio,3,5,199,2,baixa,M,46,2728,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1937,1938,F,Navio,3,4,181,3,baixa,M,45,2486,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1938,1939,D,Navio,3,2,220,3,baixa,M,22,2818,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1939,1940,F,Navio,3,1,215,2,baixa,F,47,3678,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1940,1941,A,Navio,4,5,248,4,alta,F,56,2840,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1941,1942,B,Navio,3,2,183,4,baixa,M,49,2414,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1942,1943,C,Navio,4,2,194,4,media,F,26,3818,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1943,1944,F,Navio,4,4,224,2,alta,F,31,2084,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1944,1945,D,Navio,4,4,184,3,baixa,F,52,3128,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1945,1946,F,Navio,4,1,160,2,baixa,M,28,1276,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1946,1947,A,Navio,5,1,182,3,baixa,M,8,3580,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
1947,1948,B,Navio,3,2,116,2,baixa,F,22,1430,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1948,1949,C,Navio,4,4,170,4,baixa,M,39,1868,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1949,1950,F,Navio,5,1,201,2,media,F,54,2158,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1950,1951,D,Navio,4,3,148,2,baixa,M,29,1809,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1951,1952,F,Navio,5,1,165,3,baixa,F,27,1905,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1952,1953,A,Navio,3,5,135,3,baixa,M,20,1772,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1953,1954,B,Navio,4,4,263,2,media,F,41,3955,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1954,1955,C,Navio,5,4,228,3,media,M,20,3382,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1955,1956,F,Navio,6,5,275,5,media,M,51,3569,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1956,1957,D,Navio,4,1,224,3,baixa,M,27,3400,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1957,1958,F,Navio,3,1,202,3,baixa,F,1,3738,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
1958,1959,A,Navio,4,2,163,3,baixa,F,11,1926,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
1961,1962,F,Navio,2,3,117,2,media,M,36,1210,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1962,1963,D,Navio,2,1,165,4,baixa,F,57,1881,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1964,1965,A,Navio,6,5,212,4,media,F,13,3676,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1965,1966,B,Navio,3,4,226,3,media,F,26,2299,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1966,1967,C,Navio,4,1,195,3,baixa,M,43,2849,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1967,1968,F,Navio,4,5,263,2,media,M,13,2779,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1968,1969,D,Navio,4,4,136,2,media,F,16,1131,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1969,1970,F,Navio,3,5,163,2,baixa,F,49,1034,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1970,1971,A,Navio,5,2,144,3,baixa,M,49,1202,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1972,1973,C,Navio,4,5,243,2,baixa,M,19,2829,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1973,1974,F,Navio,5,1,201,3,media,M,19,2696,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1974,1975,D,Navio,5,3,242,3,baixa,M,58,3411,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1975,1976,F,Navio,3,1,187,2,alta,M,56,3774,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1976,1977,A,Navio,4,3,162,3,baixa,M,53,1194,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1977,1978,B,Navio,3,3,147,3,baixa,M,16,1563,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1978,1979,C,Navio,3,4,268,2,alta,F,39,2822,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1979,1980,F,Navio,4,3,237,3,baixa,M,57,3952,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1980,1981,D,Navio,3,2,157,2,baixa,M,29,1115,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1981,1982,F,Navio,4,2,176,3,media,F,12,1750,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1982,1983,A,Navio,4,5,134,4,baixa,M,36,1191,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1983,1984,B,Navio,3,4,234,2,media,M,52,3543,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1984,1985,C,Navio,3,3,154,2,baixa,F,57,1096,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1986,1987,D,Navio,5,4,138,2,media,M,38,1803,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1987,1988,F,Navio,2,3,151,3,media,M,22,1024,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1988,1989,A,Navio,4,4,252,6,media,M,44,2676,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1989,1990,B,Navio,3,1,155,2,media,F,6,1490,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
1990,1991,C,Navio,3,3,139,4,alta,M,17,1137,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1991,1992,F,Navio,4,5,258,3,media,F,37,2289,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1992,1993,D,Navio,4,2,172,3,baixa,M,1,1182,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
1993,1994,F,Navio,4,3,239,3,baixa,F,28,2741,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1994,1995,A,Navio,3,1,165,3,baixa,F,1,1417,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
1995,1996,B,Navio,4,5,177,2,baixa,M,47,1536,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1996,1997,C,Navio,5,1,187,2,baixa,F,17,3513,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1997,1998,F,Navio,6,2,172,2,baixa,M,41,1006,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1998,1999,D,Navio,4,4,168,3,baixa,F,35,1434,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
1999,2000,F,Navio,3,4,249,3,baixa,M,31,3489,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
2000,2001,A,Navio,4,3,135,3,media,F,11,1322,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
2001,2002,B,Navio,4,3,134,3,media,M,13,1985,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
2002,2003,C,Navio,3,1,269,2,baixa,F,35,3524,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
2003,2004,F,Navio,6,5,210,5,alta,M,37,3236,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
2005,2006,F,Navio,4,2,244,2,media,M,15,2857,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
2006,2007,A,Navio,3,2,209,2,baixa,F,24,2748,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
2007,2008,B,Navio,4,3,154,3,media,M,52,1432,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
2008,2009,C,Navio,3,2,134,3,media,F,54,1932,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
2009,2010,F,Navio,3,5,168,4,media,M,23,1347,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
2010,2011,D,Navio,4,5,264,3,media,M,57,3753,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
2011,2012,F,Navio,4,2,276,6,alta,F,36,2843,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
2012,2013,A,Navio,3,4,195,3,media,M,23,3499,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
2013,2014,B,Navio,5,3,174,5,media,M,47,1909,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
2014,2015,C,Navio,3,4,241,3,baixa,F,50,3074,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
2015,2016,F,Navio,5,5,166,3,media,F,20,1267,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
2016,2017,D,Navio,3,2,190,3,baixa,M,37,3315,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
2017,2018,F,Navio,3,1,231,2,baixa,F,12,2123,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
2018,2019,A,Navio,5,4,206,4,baixa,F,3,3755,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
2019,2020,B,Navio,4,4,212,3,media,M,50,2073,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
2020,2021,C,Navio,3,5,212,3,baixa,F,2,2456,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
2022,2023,D,Navio,4,4,264,2,media,F,12,2203,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
2023,2024,F,Navio,3,4,208,2,baixa,F,37,2537,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
2024,2025,A,Navio,3,4,210,3,baixa,F,7,2878,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
2025,2026,B,Navio,3,2,183,3,baixa,F,44,2896,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
2026,2027,C,Navio,4,2,265,3,baixa,F,41,3498,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
2027,2028,F,Navio,3,5,187,3,baixa,M,20,2374,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
2028,2029,D,Caminhao,2,4,183,3,baixa,F,12,3090,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
2029,2030,F,Caminhao,3,3,176,2,baixa,F,58,1730,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
2030,2031,A,Caminhao,4,5,266,3,media,M,5,3718,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
2031,2032,B,Caminhao,3,2,143,4,media,F,22,1249,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
2032,2033,C,Caminhao,3,4,195,2,media,F,32,3719,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
